ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,lat,lon,Location
10837815,JA140094,02-02-2017 17:00,021XX W WASHINGTON BLVD,820,THEFT,$500 AND UNDER,OTHER,FALSE,FALSE,1223,12,2,28,6,1162176,1900666,2017,02/14/2017 03:49:42 PM,41.88309196,-87.67993916,"(41.883091959, -87.679939156)"
10837816,JA140085,02-03-2017 09:00,004XX N CICERO AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,FALSE,FALSE,1532,15,28,25,14,1144294,1902377,2017,02/14/2017 03:49:42 PM,41.88814198,-87.74556032,"(41.888141978, -87.74556032)"
10837818,JA140112,02-03-2017 10:36,053XX W CHICAGO AVE,1330,CRIMINAL TRESPASS,TO LAND,GAS STATION,TRUE,FALSE,1524,15,37,25,26,1140422,1904813,2017,02/14/2017 03:49:42 PM,41.89489856,-87.75972002,"(41.894898559, -87.759720016)"
10837819,JA140018,02-03-2017 09:22,014XX W 47TH ST,860,THEFT,RETAIL THEFT,CONVENIENCE STORE,FALSE,FALSE,924,9,3,61,6,1167554,1873583,2017,02/14/2017 03:49:42 PM,41.80865964,-87.66096953,"(41.808659638, -87.660969527)"
10837821,JA140083,02-02-2017 23:00,056XX S MASSASOIT AVE,610,BURGLARY,FORCIBLE ENTRY,RESIDENCE-GARAGE,FALSE,FALSE,811,8,23,56,5,1139004,1866529,2017,02/14/2017 03:49:42 PM,41.78986746,-87.76585706,"(41.789867462, -87.765857059)"
10837823,JA140134,02-03-2017 10:55,047XX S HALSTED ST,850,THEFT,ATTEMPT THEFT,VEHICLE-COMMERCIAL,FALSE,FALSE,933,9,3,61,6,1171764,1873607,2017,02/14/2017 03:49:42 PM,41.80863408,-87.6455275,"(41.808634077, -87.645527495)"
10837824,JA140066,02-03-2017 09:53,004XX E 80TH ST,2825,OTHER OFFENSE,HARASSMENT BY TELEPHONE,RESIDENCE,FALSE,FALSE,624,6,6,44,26,1180762,1852066,2017,02/14/2017 03:49:42 PM,41.74932114,-87.61318673,"(41.749321136, -87.613186725)"
10837825,JA140071,02-02-2017 16:26,002XX N LA SALLE ST,1150,DECEPTIVE PRACTICE,CREDIT CARD FRAUD,RESTAURANT,FALSE,FALSE,122,1,42,32,11,1175093,1901988,2017,02/14/2017 03:49:42 PM,41.88643994,-87.63246797,"(41.886439939, -87.632467972)"
10837826,JA140126,02-02-2017 22:15,043XX W WAVELAND AVE,820,THEFT,$500 AND UNDER,STREET,FALSE,FALSE,1731,17,38,16,6,1146799,1924239,2017,02/14/2017 03:49:42 PM,41.948086,-87.73580162,"(41.948086, -87.735801621)"
10837827,JA140102,02-03-2017 10:16,035XX S RHODES AVE,560,ASSAULT,SIMPLE,APARTMENT,TRUE,FALSE,212,2,4,35,08A,1180172,1881335,2017,02/14/2017 03:49:42 PM,41.82965153,-87.6144519,"(41.829651528, -87.614451899)"
10837828,JA140052,02-03-2017 09:15,022XX W 80TH ST,820,THEFT,$500 AND UNDER,STREET,FALSE,FALSE,835,8,18,70,6,1162677,1851563,2017,02/14/2017 03:49:42 PM,41.74833709,-87.67947146,"(41.748337087, -87.679471457)"
